feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4,0.0031659251058045773,0.05191706821036043,0.0034899543532107506,2.4571802533497977,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_RadialCV_Actin_2of4,0.010756954297221035,0.046721434331190005,0.011623879890253652,1.9346488862590334,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_RadialCV_Actin_3of4,0.0002869453710678266,0.060839568237953806,0.0003301630626822453,3.4812715154783813,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4,4.5351268778510165e-6,0.07375119151422722,5.558914848410668e-6,5.25500997844365,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,6.084675122317915e-13,0.10983053824370763,8.805355848816896e-13,12.055253088299228,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0.007036999456529652,0.04858706687788001,0.0076292221830692765,2.1175197371198493,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.00003299755728719991,0.06788051953619444,0.000039560940032281644,4.402733397408975,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_RadialCV_ER_4of4,5.155912566746376e-41,0.19736890304229435,1.1802907861854944e-40,39.928010983136275,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_RadialCV_Hoechst_2of4,7.870123858611315e-12,0.10484357431713578,1.1191929383349857e-11,10.951095038734083,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_RadialCV_Hoechst_3of4,0.0007834134512683247,0.057276422822750195,0.0008858909423120299,3.0526197386855194,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_RadialCV_Hoechst_4of4,6.321187831957689e-39,0.19226004835000374,1.4078035273207465e-38,37.85145795098529,on,Cytoplasm,Hoechst
